Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish, OD ,AD,BAC,Foreign,AC,ETC
A47845,Rehabilitation of Shahdara - Maqboolpura - Kala Khatai - Narang Mandi Road Length=34.11 Km in Tehsil Ferozewala District Sheikhupura,Communication & Works Department,Communication & Works Department,North Single,01/07/2022,30/06/2026,47,35,3515.73,0,3473.29,42.44
A31539,Construction of Residences for Judicial Officers at Faisalabad Headquarter,Communication & Works Department,Judiciary,North Single,01/07/2020,29/06/2026,71,59,1379.72,0,1320.08,59.64
A29732,Replacement of outlived water supply lines and tube wells in Multan,WASA Multan,HUD&PHED,South Single,01/07/2019,28/06/2025,71,71,1094.85,0,1030,64.85
A52500,"Construction of one Multistory Building for Residences Grade 11-14 for Staff Colony at Chauburji Garden Estate, Multan Road, Lahore",Communication & Works Department,S&GAD,North Single,07/09/2023,31/12/2026,39,21,1005,0,920,85
A59930,CM Initiative for Agro Forestry for Forest Waste Land,"Forestry, Wildlife & Fisheries","Forestry,WildLife,Fisheries",Punjab Based,01/07/2024,30/06/2027,35,11,1000,0,904.72,95.28
A28964,"Construction of building of Muhammad Nawaz Sharif University of Engineering & Technology, Multan","Communication & Works Department, Higher Education Department",Higher Education Department,South Single,01/07/2020,30/06/2026,71,59,1018.06,0,917.77,100.29
A34987,"Construction of Population Welfare House, Punjab ",Health & Population Department,Health & Population Department,Punjab Based,01/07/2021,30/06/2026,59,47,1172.07,0,1071.57,100.51
A01886,"Construction of Multan Metro Bus Project, Bus Depot and Command & Control Center (Pakage-9), Multan",MDA,"Transport & Masstransit Department, GoPb",South Single,19/02/2015,30/06/2025,124,124,2047.67,0,1942.67,105
A47572,Rehabilitation / Improvement of road from Bhowana to Aminpur road in District Chiniot Length 24.5 Km,Communication & Works Department,Government of Punjab,North Single,01/07/2022,30/06/2026,47,35,1224.97,0,1114.35,110.62
A47655,Rehabilitation of road from Chakwal Tehsil Chowk to Balkasar Interchange via Thoa Bhadar Length = 18.00 Km District Chakwal,Roads,Roads,North Single,01/07/2022,30/06/2026,47,35,1608.51,0,1496.53,111.98
A44478,"Construction of Court Complex at Depalpur, District Okara",Communication & Works Department,Judiciary,North Single,01/07/2022,29/06/2026,47,35,1636.57,0,1524.57,112
